date,close,open_yesterday,high_yesterday,low_yesterday,close_yesterday,volume_yesterday,trades_yesterday,open_1D_change,high_1D_change,low_1D_change,close_1D_change,volume_1D_change,trades_1D_change,open_average_7D,high_average_7D,low_average_7D,close_average_7D,volume_average_7D,trades_average_7D,open_%change_7D,high_%change_7D,low_%change_7D,close_%change_7D,volume_%change_7D,trades_%change_7D,moving_average_9,moving_average_20,moving_average_50
2022-04-06,43179.4,46617.1,47188.4,45377.0,45479.2,1882.88025051,22655.0,0.004155160455107554,0.006406756526190049,0.004960910681460762,-0.02440949780230861,-0.014701580341742182,-0.05403148356925136,46460.7,47248.3,45405.75714285715,46177.700000000004,2099.8132556442856,26037.571428571428,-0.0011900515556451901,-0.0038918200595529245,-0.004585975986553843,-0.0014597384914276962,0.051883045075909795,-0.0766405452352015,46424.666666666664,44502.990000000005,41781.087999999996
2022-04-07,43469.8,45498.3,45534.3,43123.7,43179.4,4589.10698672,36043.0,-0.023999776905899273,-0.0350531062718803,-0.04965731538003837,-0.05056817182360274,1.4372803238426806,0.5909512248951667,46183.27142857143,46937.78571428572,44913.34285714285,45623.42857142857,2507.211717074286,27529.285714285714,-0.0014592960177834799,-0.0027483533596051996,-0.004578042091898589,-0.005862966547394314,0.11416330229771075,-0.007887983004114323,45984.833333333336,44614.68,41753.414
2022-04-08,42282.6,43179.5,43920.8,42750.0,43469.8,1565.17601256,22151.0,-0.050964541532320995,-0.03543482605420534,-0.008665768475339508,0.006725429255617366,-0.6589366913673356,-0.3854285159392947,45626.17142857143,46412.47142857143,44556.2,45329.92857142857,2399.372241115714,26398.285714285714,-0.005803075564119488,-0.006523680966902272,-0.010630796255093127,-0.01193998316123081,0.3301346174864666,0.0880368965745237,45543.67777777778,44699.41499999999,41745.348000000005
2022-04-09,42764.0,43469.8,43968.7,42126.0,42282.6,2238.74341635,26125.0,0.006723097766301311,0.0010905994426329002,-0.014596491228070163,-0.027310914704001488,0.4303461070095971,0.17940499300257318,45332.78571428572,46020.728571428575,44251.68571428571,44754.299999999996,2121.8643944157143,24909.571428571428,-0.011996342649746092,-0.011256713016135875,-0.007817770861873392,-0.006319433304928314,0.1880833766051826,0.008049198345314543,45012.93333333333,44702.645000000004,41780.121999999996
2022-04-10,42160.0,42282.6,42805.1,42111.0,42764.0,621.74608186,13343.0,-0.027310914704001488,-0.02646428027210257,-0.00035607463324316413,0.011385297971269637,-0.7222789903839532,-0.48926315789473684,44757.15714285714,45392.88571428571,43743.81428571428,44316.5,2007.8010460671428,23555.14285714286,-0.006315283424442922,-0.008438436281007631,-0.006769913649782379,-0.012692827841345036,0.13495523387809003,0.002900627152405958,44706.23333333333,44776.395000000004,41835.254
2022-04-11,39534.6,42781.7,43416.4,41805.4,42160.0,1121.27095145,15302.0,0.0118039098825522,0.014281008571408682,-0.007257011232219557,-0.014124029557571749,0.8034226256732233,0.1468185565465039,44321.885714285716,44817.385714285716,43206.58571428571,43707.44285714285,1989.9854709328572,22795.428571428572,-0.012691231876584956,-0.013714874816039549,-0.011367216094328543,-0.009575228207663418,0.1261078410470111,-0.01335525142105939,44244.899999999994,44833.68000000001,41876.538
2022-04-12,40078.7,42164.9,42411.0,39240.0,39534.6,3303.8990908,31753.0,-0.014417379393525609,-0.023157147990160443,-0.06136527816980586,-0.06227229601518025,1.9465662037596525,1.0750882237616,43713.41428571429,44177.81428571429,42361.87142857142,42695.65714285714,2188.9746843214284,23910.285714285714,-0.009513830541291544,-0.012415953494700307,-0.012090789412803489,-0.013447060273173772,0.2584062740039625,0.021413830839577312,43545.56666666667,44691.520000000004,41899.23
2022-04-13,41150.0,39530.5,40683.4,39269.4,40078.7,2170.32737648,24269.0,-0.062478507004641304,-0.04073471505034065,0.0007492354740061824,0.01376262817886098,-0.343101191400346,-0.23569426510880864,42701.04285714286,43248.52857142857,41489.357142857145,41924.15714285714,2230.03855946,24140.85714285714,-0.013430063490255186,-0.014047285149731002,-0.019562432633893696,-0.02293916895368255,0.4602425711703032,0.15193426297179422,42840.600000000006,44549.939999999995,41960.42
2022-04-14,39954.9,40078.7,41548.4,39598.0,41150.0,2414.27057701,24018.0,0.013867772985416194,0.021261743118815124,0.008367838571508468,0.026729908904230992,0.1123992643569034,-0.01034241213070175,41926.81428571429,42679.114285714284,40985.68571428571,41634.24285714285,1919.3476437871432,22423.0,-0.02294915884164788,-0.02078178108923539,-0.02016410052067292,-0.01748600809922975,0.4133283410190741,0.12598243703757178,42233.14444444445,44407.99,42018.294
2022-04-15,40569.9,41150.0,41480.0,39600.0,39954.9,1895.26356688,20685.0,0.026729908904230992,-0.0016462727806606514,5.050760139391208e-05,-0.029042527339003588,-0.214974665670148,-0.13877092180864348,41636.885714285716,42330.42857142857,40535.68571428571,41132.114285714284,1966.5030086900001,22213.571428571428,-0.01753950885717424,-0.012736802604850328,-0.011874792813309085,-0.0064434251381106445,0.22405961823539164,0.04008334603387626,41619.333333333336,44189.96,42072.39
